Station,Date,Calday,Year,Month,Season,Latitude,Longitude,Zone,Frame,Vis,FOV.Bias,Habitat,Depth,Time.In,Time.Out,Total.bott,Time.secs.,Algae,Pebble,Gravel,Sand,Mud,Seagrass,mean_velocity,dist,site_heterogeneity
SA.F2.020914.C3.4,02/09/2014,245,2014,September,Late,55.43146667,-5.1014,3,2,1,2,Sand,27.4,09:33,10:35,01:02,3720,0,0.08,0.17,0.45,0,0,0.217563003,990.7714304,3
SA.F2.020914.C3.8,02/09/2014,245,2014,September,Late,55.44485,-5.079616667,3,2,1,2,Mud,41.5,10:58,12:02,01:04,3840,0,0,0,0,0.51,0,0.166786596,909.6571699,1
SA.F2.030714.C1.1,03/07/2014,184,2014,July,Early,55.56261667,-5.081383333,1,2,1,2,Mud,38.4,08:22,09:22,01:00:00,3600,0,0,0,0,0.42,0,0.117683679,726.4766584,1
SA.F2.030714.C1.12,03/07/2014,184,2014,July,Early,55.5361,-5.089833333,1,2,2,3,Algae,9.6,12:54,14:00,01:06,3960,0.59,0.06,0.05,0.04,0,0,0.087764733,61.76514413,4
SA.F2.030714.C1.4,03/07/2014,184,2014,July,Early,55.55741667,-5.074066667,1,2,1,2,Mud,35.8,09:31,10:31,01:00:00,3600,0,0,0,0,0.51,0,0.131759435,709.8334596,1
SA.F2.030714.C1.9,03/07/2014,184,2014,July,Early,55.54141667,-5.093366667,1,2,1,2,Mud,24.1,11:26,12:30,01:04,3840,0,0,0,0,0.51,0,0.077774197,442.6257568,1
SA.F2.070714.C1.10,07/07/2014,188,2014,July,Early,55.52496667,-5.060483333,1,2,2,3,Pebble,31.7,13:55,14:57,01:02,3720,0,0.5,0,0.25,0,0,0.110547736,269.0898869,2
SA.F2.070714.C2.1,07/07/2014,188,2014,July,Early,55.4921,-5.087483333,2,2,2,2,Sand,8.7,09:12,10:17,01:05,3900,0.13,0,0,0.66,0,0,0.071171746,317.0503922,2
SA.F2.070714.C2.4,07/07/2014,188,2014,July,Early,55.47591667,-5.0833,2,2,2,3,Sand,4.2,10:34,11:38,01:04,3840,0.03,0,0,0.73,0,0,0.062845051,160.2077442,2
SA.F2.070714.C2.9,07/07/2014,188,2014,July,Early,55.5093,-5.066833333,2,2,2,2,Algae,11.9,12:34,13:39,01:05,3900,0.47,0,0.2,0.02,0,0,0.10807237,186.1410509,3
SA.F2.150914.C3.1,15/09/2014,258,2014,September,Late,55.43225,-5.111933333,3,2,3,3,Algae,9.9,09:21,10:28,01:07,4020,0.51,0.29,0.04,0,0,0,0.239972621,377.15515,3
SA.F2.150914.C3.10,15/09/2014,258,2014,September,Late,55.42583333,-5.099766667,3,2,1,2,Sand,33.8,13:50,14:51,01:01,3660,0.01,0.03,0.08,0.31,0,0,0.241908804,911.508415,4
SA.F2.150914.C4.5,15/09/2014,258,2014,September,Late,55.43161667,-5.12885,3,2,3,3,Algae,12.7,10:57,12:04,01:07,4020,0.64,0.12,0.16,0,0,0,0.137099057,492.1301235,3
SA.F2.150914.C4.9,15/09/2014,258,2014,September,Late,55.429,-5.142033333,3,2,2,2,Sand,22.3,12:28,13:34,01:06,3960,0,0.13,0.03,0.39,0,0,0.17316401,1215.164967,3
